date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:04	28410/28410	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647e-6efa%22	https://solidity.readthedocs.io/en/v0.5.8/	solidity.readthedocs.io/en/v0.5.8/index.html	(from )
13:25:04	181/181	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Wed,%2001%20May%202019%2010:25:03%20GMT	https://solidity.readthedocs.io/robots.txt		(from )
13:25:05	15414/15414	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc8646f-3c36%22	https://solidity.readthedocs.io/en/v0.5.8/_static/js/modernizr.min.js	solidity.readthedocs.io/en/v0.5.8/_static/js/modernizr.min.js	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:06	307/307	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc86480-133%22	https://solidity.readthedocs.io/en/v0.5.8/_static/documentation_options.js	solidity.readthedocs.io/en/v0.5.8/_static/documentation_options.js	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:08	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc8646f-15283%22	https://solidity.readthedocs.io/en/v0.5.8/_static/jquery.js	solidity.readthedocs.io/en/v0.5.8/_static/jquery.js	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:09	12140/12140	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc8646f-2f6c%22	https://solidity.readthedocs.io/en/v0.5.8/_static/underscore.js	solidity.readthedocs.io/en/v0.5.8/_static/underscore.js	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:10	9313/9313	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc8646f-2461%22	https://solidity.readthedocs.io/en/v0.5.8/_static/doctools.js	solidity.readthedocs.io/en/v0.5.8/_static/doctools.js	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:11	10847/10847	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc86480-2a5f%22	https://solidity.readthedocs.io/en/v0.5.8/_static/language_data.js	solidity.readthedocs.io/en/v0.5.8/_static/language_data.js	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:12	4414/4414	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc8646f-113e%22	https://solidity.readthedocs.io/en/v0.5.8/_static/js/theme.js	solidity.readthedocs.io/en/v0.5.8/_static/js/theme.js	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:14	118340/118340	---MCZ	200	added ('OK')	text/css	etag:W/%225cc8646f-1ce44%22	https://solidity.readthedocs.io/en/v0.5.8/_static/css/theme.css	solidity.readthedocs.io/en/v0.5.8/_static/css/theme.css	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:15	4395/4395	---MCZ	200	added ('OK')	text/css	etag:W/%225cc86480-112b%22	https://solidity.readthedocs.io/en/v0.5.8/_static/pygments.css	solidity.readthedocs.io/en/v0.5.8/_static/pygments.css	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:16	372/372	---MCZ	200	added ('OK')	text/css	etag:W/%225cc8645e-174%22	https://solidity.readthedocs.io/en/v0.5.8/_static/css/custom.css	solidity.readthedocs.io/en/v0.5.8/_static/css/custom.css	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:18	40620/40620	---MCZ	200	added ('OK')	text/html	etag:W/%225cc86480-9eac%22	https://solidity.readthedocs.io/en/v0.5.8/genindex.html	solidity.readthedocs.io/en/v0.5.8/genindex.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:19	11410/11410	---MCZ	200	added ('OK')	text/html	etag:W/%225cc86480-2c92%22	https://solidity.readthedocs.io/en/v0.5.8/search.html	solidity.readthedocs.io/en/v0.5.8/search.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:20	52387/52387	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647e-cca3%22	https://solidity.readthedocs.io/en/v0.5.8/introduction-to-smart-contracts.html	solidity.readthedocs.io/en/v0.5.8/introduction-to-smart-contracts.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:21	480/480	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc86480-1e0%22	https://solidity.readthedocs.io/en/v0.5.8/_static/readthedocs-data.js	solidity.readthedocs.io/en/v0.5.8/_static/readthedocs-data.js	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:22	32853/32853	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647e-8055%22	https://solidity.readthedocs.io/en/v0.5.8/installing-solidity.html	solidity.readthedocs.io/en/v0.5.8/installing-solidity.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:24	129057/129057	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647f-1f821%22	https://solidity.readthedocs.io/en/v0.5.8/solidity-by-example.html	solidity.readthedocs.io/en/v0.5.8/solidity-by-example.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:25	21319/21319	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647f-5347%22	https://solidity.readthedocs.io/en/v0.5.8/solidity-in-depth.html	solidity.readthedocs.io/en/v0.5.8/solidity-in-depth.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:26	26130/26130	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647e-6612%22	https://solidity.readthedocs.io/en/v0.5.8/natspec-format.html	solidity.readthedocs.io/en/v0.5.8/natspec-format.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:28	57518/57518	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647e-e0ae%22	https://solidity.readthedocs.io/en/v0.5.8/security-considerations.html	solidity.readthedocs.io/en/v0.5.8/security-considerations.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:29	22676/22676	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647e-5894%22	https://solidity.readthedocs.io/en/v0.5.8/resources.html	solidity.readthedocs.io/en/v0.5.8/resources.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:30	42798/42798	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647f-a72e%22	https://solidity.readthedocs.io/en/v0.5.8/using-the-compiler.html	solidity.readthedocs.io/en/v0.5.8/using-the-compiler.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:31	22633/22633	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647e-5869%22	https://solidity.readthedocs.io/en/v0.5.8/metadata.html	solidity.readthedocs.io/en/v0.5.8/metadata.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:33	102352/102352	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647d-18fd0%22	https://solidity.readthedocs.io/en/v0.5.8/abi-spec.html	solidity.readthedocs.io/en/v0.5.8/abi-spec.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:34	87425/87425	---MCZ	200	added ('OK')	text/html	etag:W/%225cc86480-15581%22	https://solidity.readthedocs.io/en/v0.5.8/yul.html	solidity.readthedocs.io/en/v0.5.8/yul.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:35	96057/96057	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647f-17739%22	https://solidity.readthedocs.io/en/v0.5.8/style-guide.html	solidity.readthedocs.io/en/v0.5.8/style-guide.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:37	38048/38048	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647d-94a0%22	https://solidity.readthedocs.io/en/v0.5.8/common-patterns.html	solidity.readthedocs.io/en/v0.5.8/common-patterns.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:38	55371/55371	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647d-d84b%22	https://solidity.readthedocs.io/en/v0.5.8/bugs.html	solidity.readthedocs.io/en/v0.5.8/bugs.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:39	54869/54869	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647e-d655%22	https://solidity.readthedocs.io/en/v0.5.8/contributing.html	solidity.readthedocs.io/en/v0.5.8/contributing.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:41	12190/12190	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647e-2f9e%22	https://solidity.readthedocs.io/en/v0.5.8/lll.html	solidity.readthedocs.io/en/v0.5.8/lll.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:42	1665/1665	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225cc8645e-681%22	https://solidity.readthedocs.io/en/v0.5.8/_images/logo.svg	solidity.readthedocs.io/en/v0.5.8/_images/logo.svg	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:43	65089/65089	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647d-fe41%22	https://solidity.readthedocs.io/en/v0.5.8/050-breaking-changes.html	solidity.readthedocs.io/en/v0.5.8/050-breaking-changes.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:45	35951/35951	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647e-8c6f%22	https://solidity.readthedocs.io/en/v0.5.8/layout-of-source-files.html	solidity.readthedocs.io/en/v0.5.8/layout-of-source-files.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:46	24346/24346	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647f-5f1a%22	https://solidity.readthedocs.io/en/v0.5.8/structure-of-a-contract.html	solidity.readthedocs.io/en/v0.5.8/structure-of-a-contract.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:47	170579/170579	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647f-29a53%22	https://solidity.readthedocs.io/en/v0.5.8/types.html	solidity.readthedocs.io/en/v0.5.8/types.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:49	46870/46870	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647f-b716%22	https://solidity.readthedocs.io/en/v0.5.8/units-and-global-variables.html	solidity.readthedocs.io/en/v0.5.8/units-and-global-variables.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:50	62982/62982	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647e-f606%22	https://solidity.readthedocs.io/en/v0.5.8/control-structures.html	solidity.readthedocs.io/en/v0.5.8/control-structures.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:51	177634/177634	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647d-2b5e2%22	https://solidity.readthedocs.io/en/v0.5.8/contracts.html	solidity.readthedocs.io/en/v0.5.8/contracts.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:52	91514/91514	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647d-1657a%22	https://solidity.readthedocs.io/en/v0.5.8/assembly.html	solidity.readthedocs.io/en/v0.5.8/assembly.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:53	79752/79752	---MCZ	200	added ('OK')	text/html	etag:W/%225cc8647e-13788%22	https://solidity.readthedocs.io/en/v0.5.8/miscellaneous.html	solidity.readthedocs.io/en/v0.5.8/miscellaneous.html	(from https://solidity.readthedocs.io/en/v0.5.8/)
13:25:55	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225cc8646f-2876e%22	https://solidity.readthedocs.io/en/v0.5.8/_static/fonts/fontawesome-webfont.eot?v=4.7.0	solidity.readthedocs.io/en/v0.5.8/_static/fonts/fontawesome-webfont3e6e.eot	(from https://solidity.readthedocs.io/en/v0.5.8/_static/css/theme.css)
13:25:57	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225cc8646f-2876e%22	https://solidity.readthedocs.io/en/v0.5.8/_static/fonts/fontawesome-webfont.eot?	solidity.readthedocs.io/en/v0.5.8/_static/fonts/fontawesome-webfontd41d.eot	(from https://solidity.readthedocs.io/en/v0.5.8/_static/css/theme.css)
13:25:58	77160/77160	---M--	200	added ('OK')	application/octet-stream	etag:%225cc8646f-12d68%22	https://solidity.readthedocs.io/en/v0.5.8/_static/fonts/fontawesome-webfont.woff2?v=4.7.0	solidity.readthedocs.io/en/v0.5.8/_static/fonts/fontawesome-webfont3e6e.woff2	(from https://solidity.readthedocs.io/en/v0.5.8/_static/css/theme.css)
13:25:59	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%225cc8646f-17ee8%22	https://solidity.readthedocs.io/en/v0.5.8/_static/fonts/fontawesome-webfont.woff?v=4.7.0	solidity.readthedocs.io/en/v0.5.8/_static/fonts/fontawesome-webfont3e6e.woff	(from https://solidity.readthedocs.io/en/v0.5.8/_static/css/theme.css)
13:26:01	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%225cc8646f-286ac%22	https://solidity.readthedocs.io/en/v0.5.8/_static/fonts/fontawesome-webfont.ttf?v=4.7.0	solidity.readthedocs.io/en/v0.5.8/_static/fonts/fontawesome-webfont3e6e.ttf	(from https://solidity.readthedocs.io/en/v0.5.8/_static/css/theme.css)
13:26:02	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225cc8646f-6c7db%22	https://solidity.readthedocs.io/en/v0.5.8/_static/fonts/fontawesome-webfont.svg?v=4.7.0	solidity.readthedocs.io/en/v0.5.8/_static/fonts/fontawesome-webfont3e6e.svg	(from https://solidity.readthedocs.io/en/v0.5.8/_static/css/theme.css)
13:26:03	253461/253461	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225cc8646f-3de15%22	https://solidity.readthedocs.io/en/v0.5.8/_static/fonts/Lato/lato-regular.eot	solidity.readthedocs.io/en/v0.5.8/_static/fonts/Lato/lato-regular.eot	(from https://solidity.readthedocs.io/en/v0.5.8/_static/css/theme.css)
13:26:05	253461/253461	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225cc8646f-3de15%22	https://solidity.readthedocs.io/en/v0.5.8/_static/fonts/Lato/lato-regular.eot?	solidity.readthedocs.io/en/v0.5.8/_static/fonts/Lato/lato-regulard41d.eot	(from https://solidity.readthedocs.io/en/v0.5.8/_static/css/theme.css)
13:26:06	182708/182708	---M--	200	added ('OK')	application/octet-stream	etag:%225cc8646f-2c9b4%22	https://solidity.readthedocs.io/en/v0.5.8/_static/fonts/Lato/lato-regular.woff2	solidity.readthedocs.io/en/v0.5.8/_static/fonts/Lato/lato-regular.woff2	(from https://solidity.readthedocs.io/en/v0.5.8/_static/css/theme.css)
13:26:08	309192/309192	---M--	200	added ('OK')	application/font-woff	etag:%225cc8646f-4b7c8%22	https://solidity.readthedocs.io/en/v0.5.8/_static/fonts/Lato/lato-regular.woff	solidity.readthedocs.io/en/v0.5.8/_static/fonts/Lato/lato-regular.woff	(from https://solidity.readthedocs.io/en/v0.5.8/_static/css/theme.css)
13:26:09	607720/607720	---M--	200	added ('OK')	application/octet-stream	etag:%225cc8646f-945e8%22	https://solidity.readthedocs.io/en/v0.5.8/_static/fonts/Lato/lato-regular.ttf	solidity.readthedocs.io/en/v0.5.8/_static/fonts/Lato/lato-regular.ttf	(from https://solidity.readthedocs.io/en/v0.5.8/_static/css/theme.css)
13:26:10	256056/256056	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225cc8646f-3e838%22	https://solidity.readthedocs.io/en/v0.5.8/_static/fonts/Lato/lato-bold.eot	solidity.readthedocs.io/en/v0.5.8/_static/fonts/Lato/lato-bold.eot	(from https://solidity.readthedocs.io/en/v0.5.8/_static/css/theme.css)
